p,d,q,AIC
4,1,1,415.577
4,1,2,416.7105
3,1,2,418.8011
4,1,0,419.2339
3,1,3,420.525
3,1,1,421.1473
3,1,4,421.3976
4,1,3,422.6397
3,1,0,422.8318
4,1,4,422.9479
2,1,4,424.3699
1,1,4,428.5138
0,1,4,431.0714
1,1,3,432.1982
0,1,3,433.0216
2,1,3,434.1981
2,1,2,458.205
2,1,1,465.4199
1,1,2,465.4269
1,1,1,466.942
0,1,2,469.0764
0,1,1,471.6357
1,1,0,473.3677
2,1,0,475.0829
0,1,0,486.9905
