Series,Order,Drift,Trend,Window,N_train,N_test,AIC,MAPE,RMSE,MAE,LB_p6,LB_p12,LB_p24,WhiteNoise
CPI Inflation,"ARIMA(3, 0, 1)",No,n,2014-01 → 2020-12,84,60,108.6314,38.1791,0.6956,0.5791,0.6428,0.7427,0.8877,True
USD/AOA Exchange Rate,"ARIMA(2, 1, 2)",Yes,t,2014-01 → 2020-12,84,60,646.7578,38.3161,257.3874,227.1965,0.7289,0.9204,0.998,True
Real Interest Rate,"ARIMA(4, 1, 3)",No,n,1995-01 → 2020-12,312,60,2251.2375,,7.7337,5.7717,1.0,0.5935,0.0,False
Brent Crude Oil,"ARIMA(1, 1, 0)",No,n,1995-01 → 2020-12,312,60,1847.9851,30.3876,28.71,25.6576,0.6573,0.715,0.5144,True
Natural Gas (EU),"ARIMA(3, 1, 2)",No,n,2014-01 → 2020-12,84,60,152.6067,52.3211,17.2021,11.5799,0.9966,0.9995,1.0,True
Diamond Index,"ARIMA(2, 1, 2)",No,n,1995-01 → 2020-12,295,59,721.2728,7.2053,10.7272,8.2905,1.0,1.0,1.0,True
Gold PPI,"ARIMA(2, 2, 1)",Yes,n,1995-01 → 2020-12,312,60,3100.6585,15.1745,469.8734,359.9212,0.2386,0.2923,0.8867,True
