observation_date,PCU2122221222
1984-12-01,100.0
1985-01-01,
1985-02-01,
1985-03-01,
1985-04-01,
1985-05-01,
1985-06-01,
1985-07-01,79.1
1985-08-01,78.9
1985-09-01,78.4
1985-10-01,78.2
1985-11-01,78.0
1985-12-01,75.8
1986-01-01,74.9
1986-02-01,77.2
1986-03-01,77.2
1986-04-01,75.2
1986-05-01,75.5
1986-06-01,74.6
1986-07-01,74.5
1986-08-01,77.9
1986-09-01,78.9
1986-10-01,79.0
1986-11-01,78.6
1986-12-01,76.5
1987-01-01,77.3
1987-02-01,81.7
1987-03-01,81.1
1987-04-01,89.8
1987-05-01,98.1
1987-06-01,100.1
1987-07-01,98.3
1987-08-01,103.3
1987-09-01,110.7
1987-10-01,106.6
1987-11-01,101.4
1987-12-01,103.4
1988-01-01,108.1
1988-02-01,100.6
1988-03-01,97.6
1988-04-01,95.9
1988-05-01,97.5
1988-06-01,97.3
1988-07-01,97.3
1988-08-01,94.6
1988-09-01,93.0
1988-10-01,90.5
1988-11-01,90.4
1988-12-01,90.7
1989-01-01,88.5
1989-02-01,83.5
1989-03-01,86.2
1989-04-01,84.5
1989-05-01,82.2
1989-06-01,79.6
1989-07-01,81.8
1989-08-01,84.6
1989-09-01,78.3
1989-10-01,80.3
1989-11-01,80.7
1989-12-01,84.6
1990-01-01,86.1
1990-02-01,81.7
1990-03-01,85.2
1990-04-01,82.9
1990-05-01,80.0
1990-06-01,79.1
1990-07-01,77.9
1990-08-01,81.6
1990-09-01,83.8
1990-10-01,82.0
1990-11-01,77.8
1990-12-01,76.6
1991-01-01,74.9
1991-02-01,72.8
1991-03-01,71.0
1991-04-01,71.3
1991-05-01,70.8
1991-06-01,69.1
1991-07-01,72.7
1991-08-01,72.8
1991-09-01,69.4
1991-10-01,69.8
1991-11-01,70.2
1991-12-01,70.9
1992-01-01,68.8
1992-02-01,69.2
1992-03-01,69.4
1992-04-01,67.6
1992-05-01,66.4
1992-06-01,67.6
1992-07-01,67.6
1992-08-01,69.0
1992-09-01,68.2
1992-10-01,68.4
1992-11-01,67.9
1992-12-01,66.5
1993-01-01,65.9
1993-02-01,64.4
1993-03-01,64.2
1993-04-01,65.3
1993-05-01,67.0
1993-06-01,71.6
1993-07-01,72.7
1993-08-01,73.6
1993-09-01,71.1
1993-10-01,69.0
1993-11-01,70.8
1993-12-01,73.7
1994-01-01,74.4
1994-02-01,75.3
1994-03-01,73.5
1994-04-01,73.4
1994-05-01,73.0
1994-06-01,75.9
1994-07-01,78.2
1994-08-01,77.4
1994-09-01,77.5
1994-10-01,78.4
1994-11-01,78.1
1994-12-01,75.7
1995-01-01,75.5
1995-02-01,74.8
1995-03-01,75.5
1995-04-01,77.4
1995-05-01,78.1
