observation_date,PCU2122221222
1995-06-01,77.8
1995-07-01,78.5
1995-08-01,76.8
1995-09-01,77.4
1995-10-01,77.6
1995-11-01,77.8
1995-12-01,78.4
1996-01-01,79.4
1996-02-01,81.8
1996-03-01,80.2
1996-04-01,79.9
1996-05-01,79.3
1996-06-01,78.4
1996-07-01,77.7
1996-08-01,78.6
1996-09-01,77.9
1996-10-01,77.3
1996-11-01,77.5
1996-12-01,74.9
1997-01-01,72.8
1997-02-01,69.7
1997-03-01,71.7
1997-04-01,70.3
1997-05-01,70.9
1997-06-01,70.2
1997-07-01,65.6
1997-08-01,66.9
1997-09-01,66.1
1997-10-01,67.4
1997-11-01,64.2
1997-12-01,59.5
1998-01-01,58.6
1998-02-01,62.3
1998-03-01,62.2
1998-04-01,63.7
1998-05-01,62.1
1998-06-01,61.7
1998-07-01,61.4
1998-08-01,59.1
1998-09-01,59.7
1998-10-01,61.0
1998-11-01,60.6
1998-12-01,60.8
1999-01-01,59.7
1999-02-01,60.3
1999-03-01,60.2
1999-04-01,59.3
1999-05-01,59.0
1999-06-01,54.7
1999-07-01,54.5
1999-08-01,54.6
1999-09-01,54.1
1999-10-01,65.3
1999-11-01,59.6
1999-12-01,57.5
2000-01-01,57.6
2000-02-01,61.0
2000-03-01,58.9
2000-04-01,57.2
2000-05-01,56.7
2000-06-01,58.8
2000-07-01,57.7
2000-08-01,56.0
2000-09-01,56.1
2000-10-01,55.1
2000-11-01,54.0
2000-12-01,55.3
2001-01-01,54.3
2001-02-01,53.7
2001-03-01,55.0
2001-04-01,52.1
2001-05-01,54.8
2001-06-01,54.9
2001-07-01,54.4
2001-08-01,55.6
2001-09-01,57.6
2001-10-01,57.9
2001-11-01,56.5
2001-12-01,55.3
2002-01-01,57.9
2002-02-01,60.6
2002-03-01,59.9
2002-04-01,60.9
2002-05-01,62.6
2002-06-01,64.2
2002-07-01,63.6
2002-08-01,63.0
2002-09-01,64.7
2002-10-01,64.2
2002-11-01,64.2
2002-12-01,65.4
2003-01-01,70.2
2003-02-01,73.8
2003-03-01,69.9
2003-04-01,65.3
2003-05-01,69.5
2003-06-01,71.7
2003-07-01,69.6
2003-08-01,72.0
2003-09-01,76.3
2003-10-01,75.3
2003-11-01,77.1
2003-12-01,81.0
2004-01-01,84.8
2004-02-01,82.2
2004-03-01,81.2
2004-04-01,84.0
2004-05-01,77.0
2004-06-01,77.5
2004-07-01,81.2
2004-08-01,80.3
2004-09-01,81.7
2004-10-01,84.4
2004-11-01,88.0
2004-12-01,89.1
2005-01-01,85.6
2005-02-01,84.7
2005-03-01,89.1
2005-04-01,86.1
2005-05-01,85.8
2005-06-01,85.0
2005-07-01,85.4
2005-08-01,89.3
2005-09-01,90.2
2005-10-01,94.0
2005-11-01,93.9
2005-12-01,104.6
2006-01-01,107.2
2006-02-01,110.7
2006-03-01,108.9
2006-04-01,118.8
2006-05-01,142.2
2006-06-01,122.3
2006-07-01,126.0
2006-08-01,127.7
2006-09-01,122.5
2006-10-01,113.8
2006-11-01,127.2
2006-12-01,128.9
2007-01-01,123.9
2007-02-01,133.0
2007-03-01,131.0
2007-04-01,135.7
2007-05-01,134.4
2007-06-01,131.8
2007-07-01,132.2
2007-08-01,135.0
2007-09-01,140.8
2007-10-01,147.8
2007-11-01,159.9
2007-12-01,160.3
2008-01-01,144.0
2008-02-01,151.8
2008-03-01,161.5
2008-04-01,152.1
2008-05-01,143.3
2008-06-01,147.5
2008-07-01,159.4
2008-08-01,142.0
2008-09-01,132.7
2008-10-01,144.0
2008-11-01,119.5
2008-12-01,128.4
2009-01-01,137.1
2009-02-01,151.7
2009-03-01,153.9
2009-04-01,148.6
2009-05-01,151.4
2009-06-01,161.7
2009-07-01,156.0
2009-08-01,160.5
2009-09-01,167.0
2009-10-01,176.5
2009-11-01,187.0
2009-12-01,191.8
2010-01-01,192.6
2010-02-01,183.9
2010-03-01,189.5
2010-04-01,192.6
2010-05-01,198.6
2010-06-01,205.1
2010-07-01,201.2
2010-08-01,200.8
2010-09-01,213.2
2010-10-01,226.8
2010-11-01,236.2
2010-12-01,239.6
2011-01-01,239.6
2011-02-01,241.1
2011-03-01,250.2
2011-04-01,263.3
2011-05-01,270.1
2011-06-01,271.1
2011-07-01,279.8
2011-08-01,304.3
2011-09-01,326.8
2011-10-01,299.1
2011-11-01,315.5
2011-12-01,293.5
2012-01-01,290.6
2012-02-01,305.5
2012-03-01,301.9
2012-04-01,293.9
2012-05-01,278.5
2012-06-01,284.3
2012-07-01,279.6
2012-08-01,283.1
2012-09-01,306.1
2012-10-01,311.2
2012-11-01,305.3
2012-12-01,302.6
2013-01-01,297.0
2013-02-01,292.1
2013-03-01,284.1
2013-04-01,278.2
2013-05-01,252.0
2013-06-01,240.7
2013-07-01,224.3
2013-08-01,232.7
2013-09-01,241.1
2013-10-01,228.8
2013-11-01,228.7
2013-12-01,219.9
2014-01-01,216.0
2014-02-01,223.1
2014-03-01,233.8
2014-04-01,229.3
2014-05-01,225.5
2014-06-01,219.0
2014-07-01,230.0
2014-08-01,227.0
2014-09-01,221.6
2014-10-01,213.8
2014-11-01,207.0
2014-12-01,208.8
2015-01-01,211.1
2015-02-01,216.7
2015-03-01,206.2
2015-04-01,208.3
2015-05-01,207.0
2015-06-01,204.3
2015-07-01,201.8
2015-08-01,190.8
2015-09-01,192.4
2015-10-01,199.8
2015-11-01,192.6
2015-12-01,189.9
2016-01-01,188.9
2016-02-01,201.2
2016-03-01,212.5
2016-04-01,214.8
2016-05-01,218.9
2016-06-01,214.9
2016-07-01,229.7
2016-08-01,232.1
2016-09-01,230.1
2016-10-01,223.3
2016-11-01,212.7
2016-12-01,206.9
2017-01-01,202.2
2017-02-01,210.9
2017-03-01,212.5
2017-04-01,216.7
2017-05-01,216.2
2017-06-01,218.8
2017-07-01,215.3
2017-08-01,219.3
2017-09-01,228.6
2017-10-01,223.0
2017-11-01,221.5
2017-12-01,220.7
2018-01-01,229.3
2018-02-01,228.2
2018-03-01,229.5
2018-04-01,232.3
2018-05-01,228.8
2018-06-01,224.1
2018-07-01,217.3
2018-08-01,206.3
